Organization Name,Partner Type,Address,City,State/Province,Zip/Postal Code,PFP Web Page,Latitude,Longitude
Blue Ridge Animal Clinic,Veterinary Partner,133 Maury River Road,Lexington,Virginia,24450,http://petsforpatriots.org/partners/blue-ridge-animal-clinic/,37.8028924,-79.4156257
Jacksonville Humane Society Community Animal Hospital,Veterinary Partner,8464 Beach Blvd,Jacksonville,Florida,32216,https://petsforpatriots.org/partners/jacksonville-humane-society-community-animal-hospital/,30.28668,-81.571892
VCA Hope Animal Hospital,Veterinary Partner,390 Atlantic Avenue,Brooklyn,New York,11217,https://petsforpatriots.org/partners/vca-hope-animal-hospital/,40.6868808,-73.9855315
VCA Gateway Animal Hospital,Veterinary Partner,4236 Hylan Boulevard,Staten Island,New York,10312,https://petsforpatriots.org/partners/vca-gateway-animal-hospital/,40.536789,-74.150505
VCA Manhattan Veterinary Group,Veterinary Partner,240 East 80th Street,New York,New York,10075,https://petsforpatriots.org/partners/vca-manhattan-veterinary-group/,40.77408,-73.955282
VCA Bay Ridge Animal Hospital,Veterinary Partner,6803 5th Avenue,Brooklyn,NY,11220,https://petsforpatriots.org/partners/vca-bay-ridge-animal-hospital/,40.633888,-74.020515
VCA Staten Island Animal Hospital,Veterinary Partner,640 WIllowbrook Road,Staten Island,New York,10314,https://petsforpatriots.org/partners/vca-staten-island-animal-hospital/,40.609406,-74.147369
VCA Rosebank Animal Hospital,Veterinary Partner,1230 Bay Street,Staten Island,New York,10305,https://petsforpatriots.org/partners/vca-rosebank-animal-hospital/,40.613125,-74.065742
Mid Atlantic Cat Hospital,Veterinary Partner,201 Grange Hall Rd,Queenstown,Maryland,21658,https://petsforpatriots.org/partners/mid-atlantic-cat-hospital/,38.9563896,-76.0772444
Village Pet Doctor,Veterinary Partner,"411 N. Long 
Rt 45",Tolono,Illinois,61880,https://petsforpatriots.org/partners/village-pet-doctor/,39.9386446,-88.26987284
Mt Hawley Animal Clinic,Veterinary Partner,836 W. Pioneer Parkway,Peoria,Illinois,61615,https://petsforpatriots.org/partners/mt-hawley-animal-clinic/,40.782928,-89.60588
Log Cabin Animal Hospital,Veterinary Partner,12950 E Michigan Ave,Battle Creek,Michigan,49014,http://petsforpatriots.org/partners/log-cabin-animal-hospital/,42.28207166,-85.04530792
VetCierge Veterinary House Calls,Veterinary Partner,515 West 59th Street,New York,New York,10019,http://petsforpatriots.org/partners/vetcierge-veterinary-house-calls/,40.77091958,-73.98842809
Susan M. Markel Veterinary Hospital,Veterinary Partner,"Robins-Starr Humane Center, 2519 Hermitage Road",Richmond,Virginia,23220,http://petsforpatriots.org/partners/richmond-spca-clinic-for-compassionate-care/,37.55305,-77.459
Chenoa Veterinary Clinic,Veterinary Partner,400 Sunset,Chenoa,Illinois,61726,http://petsforpatriots.org/partners/chenoa-veterinary-clinic/,40.7484158,-88.72469
Country View Veterinary Clinic,Veterinary Partner,2619 W. Springfield Avenue,Champaign,Illinois,61821,http://petsforpatriots.org/partners/country-view-veterinary-clinic/,40.112418,-88.291058
Lashley Animal Hospital,Veterinary Partner,3120 North Illinois,Swansea,Illinois,62226,https://petsforpatriots.org/partners/lashley-animal-hospital/,38.549973,-89.983777
Beaumont Animal Clinic,Veterinary Partner,1304 N. Cunningham Avenue,Urbana,Illinois,61802,https://petsforpatriots.org/partners/beaumont-animal-clinic/,40.125871,-88.199677
Elizabeth Veterinary Clinic,Veterinary Partner,151 East Second Ave,Roselle,New Jersey,7203,https://petsforpatriots.org/partners/elizabeth-veterinary-clinic/,40.6595437,-74.2610354
Chinquapin Animal Hospital,Veterinary Partner,123 Old Abbeville Highway,Greenwood,South Carolina,29649,https://petsforpatriots.org/partners/chinquapin-animal-hospital/,34.1954822,-82.1960999
Pasquotank Animal Hospital,Veterinary Partner,1351 US 17 S,Elizabeth City,North Carolina,27909,https://petsforpatriots.org/partners/pasquotank-animal-hospital/,36.25182124,-76.31334153
Hemet Animal Hospital,Veterinary Partner,130 N Girard St,Hemet,California,92544,http://petsforpatriots.org/partners/hemet-animal-hospital/,33.748479,-116.953991
Medford Animal Hospital,Veterinary Partner,45 Jackson Rd,Medford,New Jersey,8055,https://petsforpatriots.org/partners/medford-animal-hospital/,39.872489,-74.817726
Wasatch Hollow Animal Hospital,Veterinary Partner,"4300 Harrison Blvd, Suite 5",Ogden,Utah,84403,https://petsforpatriots.org/partners/wasatch-hollow-animal-hospital/,41.18476826,-111.9488716
Friendship Veterinary Hospital,Veterinary Partner,623 N. Beal Parkway,Fort Walton Beach,Florida,32548,http://petsforpatriots.org/partners/friendship-veterinary-hospital/,30.430084,-86.638901
Northgate Pet Clinic & Veterinary Dentistry,Veterinary Partner,"2800 North Martin Luther King, Jr. Drive",Decatur,Illinois,62526,http://petsforpatriots.org/partners/northgate-pet-clinic/,39.87461232,-88.95022134
Paws Into Grace,Veterinary Partner,3477 Wild Oak Lane,Escondido,California,92027,http://petsforpatriots.org/partners/paws-into-grace/,33.130072,-117.007354
Bayside Hospital for Animals,Veterinary Partner,"251 Racetrack Road, NE",Fort Walton Beach,Florida,32547,http://petsforpatriots.org/partners/bayside-hospital-for-animals/,30.4445454,-86.6049913
Fairfax Veterinary Clinic,Veterinary Partner,2084 Sir Francis Drake Blvd,Fairfax,California,94930,https://petsforpatriots.org/partners/fairfax-veterinary-clinic/,37.989383,-122.590981
Washington Square Veterinary Clinic,Veterinary Partner,363 S. McDowell Blvd.,Petaluma,California,94954,https://petsforpatriots.org/partners/washington-square-veterinary-clinic/,38.24771636,-122.6227678
Cardiff Animal Hospital,Veterinary Partner,2159 San Elijo Avenue,Cardiff,California,92007,http://petsforpatriots.org/partners/cardiff-animal-hospital/,33.02015917,-117.2817925
The Cat Practice,Veterinary Partner,323 Chicago Ave,Oak Park,Illinois,60302,http://petsforpatriots.org/partners/the-cat-practice/,41.89445287,-87.78439
Central Park Veterinary Clinic,Veterinary Partner,252 Route 108,Somersworth,New Hampshire,3878,http://petsforpatriots.org/partners/central-park-veterinary-clinic/,43.251091,-70.900323
Furry Friends Veterinary Clinic,Veterinary Partner,401 Maplewood Drive Suite 8,Jupiter,Florida,33458,http://petsforpatriots.org/partners/furry-friends-veterinary-clinic/,26.93127307,-80.12474398
Bluffs Animal Hospital,Veterinary Partner,320 N. Indian Rocks Road,Belleair Bluffs,Florida,33770,http://petsforpatriots.org/partners/bluffs-animal-hospital/,27.91978096,-82.81559234
Montezuma Veterinary Services,Veterinary Partner,100 S Montezuma Castle Highway,Camp Verde,Arizona,86322,http://petsforpatriots.org/partners/montezuma-veterinary-services/,34.568122,-111.855114
M-20 Animal Hospital,Veterinary Partner,4808 Isabella Street,Midland,Michigan,48640,http://petsforpatriots.org/partners/m-20-animal-hospital/,43.612797,-84.30697
Quarry Hills Animal Hospital,Veterinary Partner,77 Messina Drive,Braintree,Massachusetts,2184,http://petsforpatriots.org/partners/quarry-hills-animal-hospital/,42.193458,-71.033001
Glenville Veterinary Clinic,Veterinary Partner,458 Saratoga Road (Route 50),Glenville,NY,12302,https://petsforpatriots.org/partners/glenville-veterinary-clinic/,42.88670517,-73.92472383
2nd Avenue Animal Hospital,Veterinary Partner,4025 Second Avenue,Columbus,Georgia,31904,https://petsforpatriots.org/partners/2nd-avenue-animal-hospital/,32.501827,-84.99044
VIP PetCare,Veterinary Partner,5418 Skylane Blvd,Windsor,California,95492,,38.5407,-122.80593
Lake City Animal Hospital,Veterinary Partner,171 SW Professional Glen,Lake City,Florida,32025,https://petsforpatriots.org/partners/lake-city-animal-hospital/,30.16822266,-82.63897906
Veterinary  Mobile Clinic,Veterinary Partner,PO Box 529,Syosset,New York,11791,https://petsforpatriots.org/partners/veterinary-mobile-clinic/,40.81392,-73.50046
South Loop Animal Hospital,Veterinary Partner,1640 S. Michigan Ave.,Chicago,Illinois,60616,https://petsforpatriots.org/partners/south-loop-animal-hospital/,41.859526,-87.624123
Case Veterinary Hospital,Veterinary Partner,111 Eisenhower Drive,Savannah,Georgia,31406,https://petsforpatriots.org/partners/case-veterinary-hospital/,32.00954,-81.113451
Shores Animal Hospital,Veterinary Partner,3717 NW 13th Street,Gainesville,Florida,32609,https://petsforpatriots.org/partners/shores-animal-hospital/,29.6869474,-82.3383005
Hardin Valley Animal Hospital,Veterinary Partner,10017 Hardin Valley Road,Knoxville,Tennessee,37932,https://petsforpatriots.org/partners/hardin-valley-animal-hospital/,35.9578594,-84.131343
Paris Vet Clinic,Veterinary Partner,1805 Main Street,Paris,Kentucky,40361,https://petsforpatriots.org/partners/paris-vet-clinic/,38.2007189,-84.265379
Cook Veterinary Hospital,Veterinary Partner,21 West Cimarron Street,Colorado Springs,Colorado,80905-7380,http://petsforpatriots.org/partners/cook-veterinary-hospital/,38.826558,-104.826977
Westside Animal Hospital,Veterinary Partner,1603 West Colorado Avenue,Colorado Springs,Colorado,80904,http://petsforpatriots.org/partners/westside-animal-hospital/,38.83932,-104.850077
Animal Medical Hospital,Veterinary Partner,3832 Monroe Road,Charlotte,NC,28205,https://petsforpatriots.org/partners/animal-medical-hospital/,35.197691,-80.794219
Greenwood Veterinary Associates,Veterinary Partner,80871 Main St,Memphis,Michigan,48041,https://petsforpatriots.org/partners/greenwood-veterinary-associates/,42.896262,-82.76929
Broad Ripple Animal Clinic and Wellness Center,Veterinary Partner,6225 N. Broadway,Indianapolis,Indiana,46220,http://petsforpatriots.org/partners/broad-ripple-animal-clinic-wellness-center/,39.8687526,-86.147222
Happy Tails Veterinary Emergency Clinic,Veterinary Partner,2936 Battleground Avenue,Greensboro,North Carolina,27408,https://petsforpatriots.org/partners/happy-tails-veterinary-emergency-clinic/,36.114399,-79.834261
Stone Ridge Veterinary Medical Center,Veterinary Partner,"12310 Woodcreek Dr
Ste A",Willis,Texas,77318,https://petsforpatriots.org/partners/stone-ridge-veterinary-medical-center/,30.4384,-95.54938
Tampa Veterinary Hospital,Veterinary Partner,2517 W. Kennedy Blvd.,Tampa,Florida,33609,https://petsforpatriots.org/partners/tampa-veterinary-hospital/,27.945089,-82.486228
South Arundel Veterinary Hospital,Veterinary Partner,85 West Central Ave,Edgewater,Maryland,21037,https://petsforpatriots.org/partners/south-arundel-veterinary-hospital/,38.927309,-76.575972
Bear Branch Animal Hospital,Veterinary Partner,"30420 FM 2978
Suite 100",The Woodlands,Texas,77354,https://petsforpatriots.org/partners/bear-branch-animal-hospital/,30.19508543,-95.58846609
Burnt Fork Veterinary Clinic,Veterinary Partner,3682 Eastside Highway,Stevensville,MT,59870,https://petsforpatriots.org/partners/burnt-fork-veterinary-clinic/,46.491814,-114.0923
Princeton Animal Hospital & Carnegie Cat Clinic,Veterinary Partner,726 Alexander Rd,Princeton,New Jersey,8540,https://petsforpatriots.org/partners/princeton-animal-hospital-carnegie-cat-clinic/,40.32187194,-74.63800438
Acadiana West Animal Clinic,Veterinary Partner,2600 Barataria Blvd,Marrero,Louisiana,70072,http://petsforpatriots.org/partners/acadiana-west-animal-clinic/,29.855236,-90.105855
Hope for Animals,Veterinary Partner,1333 Maycrest Dr,Fort Wayne,Indiana,46805,http://petsforpatriots.org/partners/hope-for-animals/,41.089267,-85.100126
Jules Vet Center,Veterinary Partner,1855 West 11th St,Tracy,California,95376,,37.73956624,-121.4511281
Tampa Bay Veterinary Emergency Service,Veterinary Partner,238 E. Bearss Avenue,Tampa,Florida,33613,http://petsforpatriots.org/partners/tampa-bay-veterinary-emergency-service/,28.08825375,-82.45819568
Symmes Square Pet Hospital,Veterinary Partner,8717 Fields Ertel Rd.,Cincinnati,Ohio,45249,http://petsforpatriots.org/partners/symmes-square-pet-hospital/,39.2922844,-84.3212986
Cal West Pet Hospital,Veterinary Partner,1941 North Texas Street,Fairfield,California,94533,http://petsforpatriots.org/partners/cal-west-pet-hospital/,38.265273,-122.034387
VCA East Anchorage Animal Hospital,Veterinary Partner,2639 Boniface Parkway,Anchorage,Alaska,99504,http://petsforpatriots.org/partners/vca-east-anchorage-animal-hospital/,61.196515,-149.778084
Blue Cross Veterinary Hospital,Veterinary Partner,2665 E. Pacific Coast Highway,Signal Hill,California,90755,http://petsforpatriots.org/partners/blue-cross-veterinary-hospital/,33.790122,-118.160336
Brandon Lakes Animal Hospital,Veterinary Partner,6151 Delancey Station St,Riverview,Florida,33578,http://petsforpatriots.org/partners/brandon-lakes-animal-hospital/,27.8921553,-82.3164587
East Maryland Animal Hospital,Veterinary Partner,529 E Maryland Ave,Phoenix,Arizona,85012,http://petsforpatriots.org/partners/east-maryland-animal-hospital/,33.530408,-112.066063
Circle Veterinary Clinic,Veterinary Partner,1212 E. Newport Pike,Wilmington,Delaware,19804,http://petsforpatriots.org/partners/circle-veterinary-clinic/,39.718213,-75.599274
Wil-O-Paw Animal Hospital,Veterinary Partner,4809 Paw Paw Lk Rd,Coloma,Michigan,49038,http://petsforpatriots.org/partners/wil-o-paw-animal-hospital/,42.198872,-86.29603
Airport Veterinary Clinic,Veterinary Partner,1274 St. Rd. 46,Terre Haute,Indiana,47803,http://www.petsforpatriots.org/Adopt/AirportVeterinaryClinic.aspx,39.4508607,-87.3315644
Jaffe Animal Clinic,Veterinary Partner,950 N. Dixie Hwy,Boca Raton,Florida,33432,http://petsforpatriots.org/partners/jaffe-animal-clinic/,26.3593569,-80.0860447
Baker Veterinary Clinic,Veterinary Partner,1801 S Congress Avenue,West Palm Beach,Florida,33406,http://petsforpatriots.org/partners/baker-veterinary-clinic/,26.64945662,-80.0882631
Humane Vet Hospital of San Diego,Veterinary Partner,8360 Paradise Valley Road.,Spring Valley,California,91977,http://petsforpatriots.org/partners/humane-vet-hospital-of-san-diego/,32.697568,-117.019085
VCA Greenhaven Pocket Animal Hospital,Veterinary Partner,1 Valine Court,Sacramento,California,95831,http://petsforpatriots.org/partners/vca-greenhaven-pocket-animal-hospital/,38.515879,-121.522892
Veterinary Housecall Service of Rochester,Veterinary Partner,2800 West Henrietta Road,Rochester,New York,14623,http://petsforpatriots.org/partners/veterinary-housecall-service-of-rochester/,43.095407,-77.631353
Bolton Veterinary Hospital,Veterinary Partner,222 Boston Turnpike,Bolton,Connecticut,6043,http://petsforpatriots.org/partners/bolton-veterinary-hospital/,41.784771,-72.461624
Cats & Critters,Veterinary Partner,23 Somerton Street,Rochester,New York,14607,http://petsforpatriots.org/partners/cats-critters/,43.147129,-77.576293
The Newport Beach Veterinary Hospital,Veterinary Partner,1610 W. Coast Hwy,Newport Beach,California,92663,http://petsforpatriots.org/partners/the-newport-beach-veterinary-hospital/,33.6170057,-117.9167245
Companion Animal Hospital (New York),Veterinary Partner,2800 West Henrietta Road,Rochester,New York,14623,http://petsforpatriots.org/partners/companion-animal-hospital/,43.095407,-77.631353
Penfield Veterinary Hospital,Veterinary Partner,1672 Penfield Road,Rochester,New York,14625,http://petsforpatriots.org/partners/penfield-veterinary-hospital/,43.131669,-77.488996
East River Veterinary Hospital,Veterinary Partner,5152 East River Road,West Henrietta,New York,14586,http://petsforpatriots.org/partners/east-river-veterinarian/,43.040663,-77.695679
Perinton Veterinary Hospital,Veterinary Partner,11 LaSalle Parkway,Victor,New York,14654,http://petsforpatriots.org/partners/perinton-veterinary-hospital/,43.036929,-77.449759
Bayview Animal Hospital (New York),Veterinary Partner,"1217 Bay Road, Suite 1A",Webster,New York,14580,http://petsforpatriots.org/partners/bayview-animal-hospital/,43.192255,-77.506777
Irondequoit Animal Hospital,Veterinary Partner,2150 Hudson Ave,Rochester,New York,14617,http://petsforpatriots.org/partners/irondequoit-animal-hospital/,43.2074,-77.600358
Suburban Animal Hospital,Veterinary Partner,2495 East Henrietta Road,Rochester,New York,14623,http://petsforpatriots.org/partners/suburban-animal-hospital/,43.071832,-77.60784
Fairview Veterinary Hospital,Veterinary Partner,6735 Pittsford-Palmyra Road,Fairport,New York,14450,http://petsforpatriots.org/partners/fairview-veterinary-hospital/,43.068642,-77.440942
Stone Ridge Veterinary Hospital,Veterinary Partner,550 Center Place Drive,Rochester,New York,14615,http://petsforpatriots.org/partners/stone-ridge-veterinary-hospital/,43.210152,-77.672034
Palmyra Animal Hospital,Veterinary Partner,1215 Canandaigua Road,Palmyra,New York,14522,http://petsforpatriots.org/partners/palmyra-animal-hospital/,43.053187,-77.236353
Caring Hands Animal Hospital,Veterinary Partner,1541 West US Highway 90,Lake City,Florida,32055-6125,http://petsforpatriots.org/partners/caring-hands-animal-hospital/,30.182414,-82.658285
